"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
1918,"Montreal Canadiens",22,13,9,0,26,115,84,0,NA,"","Lost in Finals",NA,NA
1918,"Toronto Arenas",22,13,9,0,26,108,109,0,NA,"Dick Carroll","Lost in round S",NA,NA
1918,"Ottawa Senators",22,9,13,0,18,102,114,0,NA,"","Out of Playoffs",NA,NA
1918,"Montreal Wanderers",6,1,5,0,2,17,35,0,NA,"","Out of Playoffs",NA,NA
1919,"Ottawa Senators",18,12,6,0,24,71,54,192,NA,"","Lost in Finals",NA,NA
1919,"Montreal Canadiens",18,10,8,0,20,88,78,257,NA,"","Lost in round S",NA,NA
1919,"Toronto Arenas",18,5,13,0,10,65,92,262,NA,"Dick Carroll","Out of Playoffs",NA,NA
1920,"Ottawa Senators",24,19,5,0,38,121,64,237,NA,"","Lost in round S",NA,NA
1920,"Montreal Canadiens",24,13,11,0,26,129,113,221,NA,"","Out of Playoffs",NA,NA
1920,"Toronto St. Pats",24,12,12,0,24,119,106,219,NA,"","Out of Playoffs",NA,NA
1920,"Quebec Bulldogs",24,4,20,0,8,91,177,114,NA,"","Out of Playoffs",NA,NA
1921,"Toronto St. Pats",24,15,9,0,30,105,100,254,NA,"Frank Carroll","Lost in Finals",NA,NA
1921,"Ottawa Senators",24,14,10,0,28,97,75,151,NA,"","Won Championship",NA,NA
1921,"Montreal Canadiens",24,13,11,0,26,112,99,315,NA,"","Out of Playoffs",NA,NA
1921,"Hamilton Tigers",24,6,18,0,12,92,132,154,NA,"","Out of Playoffs",NA,NA
1922,"Ottawa Senators",24,14,8,2,30,106,84,99,NA,"","Lost in Finals",NA,NA
1922,"Toronto St. Pats",24,13,10,1,27,98,97,114,NA,"","Won Championship",NA,NA
1922,"Montreal Canadiens",24,12,11,1,25,88,94,174,NA,"Leo Dandurand","Out of Playoffs",NA,NA
1922,"Hamilton Tigers",24,7,17,0,14,88,105,76,NA,"","Out of Playoffs",NA,NA
1923,"Ottawa Senators",24,14,9,1,29,77,54,188,NA,"","Won Championship",NA,NA
1923,"Montreal Canadiens",24,13,9,2,28,73,61,174,NA,"Leo Dandurand","Won Championship",NA,NA
1923,"Toronto St. Pats",24,13,10,1,27,82,88,200,NA,"","Out of Playoffs",NA,NA
1923,"Hamilton Tigers",24,6,18,0,12,81,110,182,NA,"","Out of Playoffs",NA,NA
1924,"Ottawa Senators",24,16,8,0,32,74,54,154,NA,"","Lost in Finals",NA,NA
1924,"Montreal Canadiens",24,13,11,0,26,59,48,144,NA,"Leo Dandurand","Won Championship",NA,NA
1924,"Toronto St. Pats",24,10,14,0,20,59,85,178,NA,"","Out of Playoffs",NA,NA
1924,"Hamilton Tigers",24,9,15,0,18,63,68,83,NA,"","Out of Playoffs",NA,NA
1925,"Hamilton Tigers",30,19,10,1,39,90,60,332,NA,"James Gardner","Lost in Finals",NA,NA
1925,"Toronto St. Pats",30,19,11,0,38,90,84,249,NA,"","Lost in round 1",NA,NA
1925,"Montreal Canadiens",30,17,11,2,36,93,56,371,NA,"Leo Dandurand","Won Championship",NA,NA
1925,"Ottawa Senators",30,17,12,1,35,83,66,331,NA,"","Out of Playoffs",NA,NA
1925,"Montreal Maroons",30,9,19,2,20,45,65,264,NA,"","Out of Playoffs",NA,NA
1925,"Boston Bruins",30,6,24,0,12,49,119,264,NA,"Art Ross","Out of Playoffs",NA,NA
1926,"Ottawa Senators",36,24,8,4,52,77,42,341,NA,"Alex Curry","Lost in Finals",NA,NA
1926,"Montreal Maroons",36,20,11,5,45,91,73,554,NA,"","Won Championship",NA,NA
